lake,year,obs_epi,obs_hypo,obs_mixed
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1979,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1980,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1981,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1982,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1983,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1984,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1985,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1986,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1987,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1988,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1989,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1990,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1991,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1992,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1993,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1994,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1995,3,3,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1996,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1997,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1998,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1999,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2000,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2001,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2002,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2003,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2004,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2005,2,2,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2006,3,3,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2007,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2008,4,4,1
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2009,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2010,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2011,4,4,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2012,4,4,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2013,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2014,8,8,1
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2015,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2016,5,5,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2017,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2018,0,0,0
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,2019,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1979,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1980,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1981,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1982,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1983,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1984,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1985,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1986,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1987,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1988,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1989,0,0,0
