lake,year,obs_epi,obs_hypo,obs_mixed
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1990,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1991,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1992,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1993,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1994,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1995,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1996,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1997,10,10,2
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1998,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,1999,10,10,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2000,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2001,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2002,8,8,1
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2003,10,10,1
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2004,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2005,11,11,1
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2006,11,11,1
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2007,11,11,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2008,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2009,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2010,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2011,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2012,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2013,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2014,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2015,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2016,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2017,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2018,0,0,0
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,2019,0,0,0
nhdhr_105954753,1979,0,0,0
nhdhr_105954753,1980,0,0,0
nhdhr_105954753,1981,0,0,0
nhdhr_105954753,1982,0,0,0
nhdhr_105954753,1983,1,1,0
nhdhr_105954753,1984,0,0,0
nhdhr_105954753,1985,0,0,0
nhdhr_105954753,1986,0,0,0
nhdhr_105954753,1987,0,0,0
nhdhr_105954753,1988,0,0,0
nhdhr_105954753,1989,0,0,0
nhdhr_105954753,1990,0,0,0
nhdhr_105954753,1991,0,0,0
nhdhr_105954753,1992,0,0,0
nhdhr_105954753,1993,3,3,1
nhdhr_105954753,1994,0,0,0
nhdhr_105954753,1995,0,0,0
nhdhr_105954753,1996,0,0,0
nhdhr_105954753,1997,0,0,0
nhdhr_105954753,1998,0,0,0
nhdhr_105954753,1999,0,0,0
nhdhr_105954753,2000,4,4,1
nhdhr_105954753,2001,0,0,0
nhdhr_105954753,2002,0,0,0
nhdhr_105954753,2003,0,0,0
nhdhr_105954753,2004,0,0,0
nhdhr_105954753,2005,0,0,0
nhdhr_105954753,2006,0,0,0
nhdhr_105954753,2007,0,0,0
nhdhr_105954753,2008,11,11,4
nhdhr_105954753,2009,0,0,0
nhdhr_105954753,2010,0,0,0
nhdhr_105954753,2011,0,0,0
nhdhr_105954753,2012,0,0,0
nhdhr_105954753,2013,0,0,0
nhdhr_105954753,2014,0,0,0
nhdhr_105954753,2015,3,3,2
nhdhr_105954753,2016,0,0,0
nhdhr_105954753,2017,0,0,0
nhdhr_105954753,2018,0,0,0
nhdhr_105954753,2019,0,0,0
nhdhr_107074156,1979,0,0,0
nhdhr_107074156,1980,0,0,0
nhdhr_107074156,1981,0,0,0
nhdhr_107074156,1982,0,0,0
nhdhr_107074156,1983,0,0,0
nhdhr_107074156,1984,0,0,0
nhdhr_107074156,1985,0,0,0
nhdhr_107074156,1986,0,0,0
nhdhr_107074156,1987,0,0,0
nhdhr_107074156,1988,0,0,0
nhdhr_107074156,1989,0,0,0
nhdhr_107074156,1990,0,0,0
nhdhr_107074156,1991,0,0,0
nhdhr_107074156,1992,0,0,0
nhdhr_107074156,1993,4,4,1
nhdhr_107074156,1994,0,0,0
nhdhr_107074156,1995,0,0,0
nhdhr_107074156,1996,0,0,0
nhdhr_107074156,1997,0,0,0
nhdhr_107074156,1998,0,0,0
nhdhr_107074156,1999,5,5,0
nhdhr_107074156,2000,0,0,0
nhdhr_107074156,2001,0,0,0
nhdhr_107074156,2002,0,0,0
nhdhr_107074156,2003,0,0,0
nhdhr_107074156,2004,0,0,0
nhdhr_107074156,2005,0,0,0
nhdhr_107074156,2006,0,0,0
nhdhr_107074156,2007,0,0,0
nhdhr_107074156,2008,0,0,0
nhdhr_107074156,2009,0,0,0
nhdhr_107074156,2010,0,0,0
nhdhr_107074156,2011,0,0,0
nhdhr_107074156,2012,15,15,0
nhdhr_107074156,2013,13,13,0
nhdhr_107074156,2014,0,0,0
nhdhr_107074156,2015,0,0,0
nhdhr_107074156,2016,0,0,0
nhdhr_107074156,2017,0,0,0
nhdhr_107074156,2018,0,0,0
nhdhr_107074156,2019,0,0,0
nhdhr_107074838,1979,0,0,0
nhdhr_107074838,1980,0,0,0
nhdhr_107074838,1981,0,0,0
nhdhr_107074838,1982,0,0,0
nhdhr_107074838,1983,0,0,0
nhdhr_107074838,1984,0,0,0
nhdhr_107074838,1985,0,0,0
nhdhr_107074838,1986,0,0,0
nhdhr_107074838,1987,0,0,0
nhdhr_107074838,1988,0,0,0
nhdhr_107074838,1989,0,0,0
nhdhr_107074838,1990,0,0,0
nhdhr_107074838,1991,0,0,0
nhdhr_107074838,1992,0,0,0
nhdhr_107074838,1993,0,0,0
nhdhr_107074838,1994,0,0,0
nhdhr_107074838,1995,0,0,0
nhdhr_107074838,1996,0,0,0
nhdhr_107074838,1997,0,0,0
nhdhr_107074838,1998,0,0,0
nhdhr_107074838,1999,5,5,0
nhdhr_107074838,2000,5,5,0
nhdhr_107074838,2001,6,6,0
nhdhr_107074838,2002,4,4,0
nhdhr_107074838,2003,2,2,1
nhdhr_107074838,2004,4,4,0
nhdhr_107074838,2005,3,3,0
nhdhr_107074838,2006,2,2,0
nhdhr_107074838,2007,4,4,0
nhdhr_107074838,2008,0,0,0
nhdhr_107074838,2009,3,3,0
nhdhr_107074838,2010,9,9,0
nhdhr_107074838,2011,3,3,0
nhdhr_107074838,2012,6,6,0
nhdhr_107074838,2013,4,4,1
nhdhr_107074838,2014,4,4,0
nhdhr_107074838,2015,0,0,0
nhdhr_107074838,2016,4,4,0
nhdhr_107074838,2017,4,4,0
nhdhr_107074838,2018,3,3,1
nhdhr_107074838,2019,3,3,1
nhdhr_114542575,1979,0,0,0
nhdhr_114542575,1980,0,0,0
nhdhr_114542575,1981,0,0,0
nhdhr_114542575,1982,0,0,0
nhdhr_114542575,1983,1,1,0
nhdhr_114542575,1984,1,1,2
nhdhr_114542575,1985,0,0,1
nhdhr_114542575,1986,3,3,1
nhdhr_114542575,1987,0,0,0
nhdhr_114542575,1988,0,0,0
nhdhr_114542575,1989,0,0,0
nhdhr_114542575,1990,0,0,0
nhdhr_114542575,1991,0,0,0
nhdhr_114542575,1992,0,0,0
nhdhr_114542575,1993,0,0,0
nhdhr_114542575,1994,0,0,0
nhdhr_114542575,1995,0,0,0
nhdhr_114542575,1996,0,0,0
nhdhr_114542575,1997,0,0,0
nhdhr_114542575,1998,0,0,0
nhdhr_114542575,1999,0,0,0
nhdhr_114542575,2000,0,0,0
nhdhr_114542575,2001,0,0,0
nhdhr_114542575,2002,0,0,0
nhdhr_114542575,2003,2,2,0
nhdhr_114542575,2004,0,0,0
nhdhr_114542575,2005,0,0,0
nhdhr_114542575,2006,5,5,0
nhdhr_114542575,2007,0,0,0
nhdhr_114542575,2008,10,10,2
nhdhr_114542575,2009,11,11,2
nhdhr_114542575,2010,13,13,1
nhdhr_114542575,2011,8,8,0
nhdhr_114542575,2012,10,10,0
nhdhr_114542575,2013,0,0,0
nhdhr_114542575,2014,7,7,0
nhdhr_114542575,2015,6,6,0
nhdhr_114542575,2016,6,6,0
nhdhr_114542575,2017,0,0,0
nhdhr_114542575,2018,6,6,0
nhdhr_114542575,2019,0,0,0
nhdhr_114544961,1979,0,0,0
nhdhr_114544961,1980,0,0,0
nhdhr_114544961,1981,0,0,0
nhdhr_114544961,1982,0,0,0
nhdhr_114544961,1983,0,0,0
nhdhr_114544961,1984,0,0,0
nhdhr_114544961,1985,0,0,0
nhdhr_114544961,1986,0,0,0
nhdhr_114544961,1987,0,0,0
nhdhr_114544961,1988,2,2,1
nhdhr_114544961,1989,2,2,1
nhdhr_114544961,1990,2,2,1
nhdhr_114544961,1991,0,0,1
nhdhr_114544961,1992,1,1,2
nhdhr_114544961,1993,2,2,1
nhdhr_114544961,1994,2,2,1
nhdhr_114544961,1995,2,2,1
nhdhr_114544961,1996,2,2,1
nhdhr_114544961,1997,0,0,0
nhdhr_114544961,1998,0,0,0
nhdhr_114544961,1999,0,0,0
nhdhr_114544961,2000,0,0,0
nhdhr_114544961,2001,0,0,0
nhdhr_114544961,2002,0,0,0
nhdhr_114544961,2003,0,0,0
nhdhr_114544961,2004,0,0,0
nhdhr_114544961,2005,0,0,0
nhdhr_114544961,2006,0,0,0
nhdhr_114544961,2007,1,1,0
nhdhr_114544961,2008,0,0,0
nhdhr_114544961,2009,0,0,0
nhdhr_114544961,2010,0,0,0
nhdhr_114544961,2011,0,0,0
nhdhr_114544961,2012,1,1,0
nhdhr_114544961,2013,0,0,0
nhdhr_114544961,2014,0,0,0
nhdhr_114544961,2015,0,0,0
nhdhr_114544961,2016,0,0,0
nhdhr_114544961,2017,0,0,0
nhdhr_114544961,2018,0,0,0
nhdhr_114544961,2019,0,0,0
nhdhr_120017988,1979,0,0,0
nhdhr_120017988,1980,5,5,0
nhdhr_120017988,1981,0,0,0
nhdhr_120017988,1982,0,0,0
nhdhr_120017988,1983,0,0,0
nhdhr_120017988,1984,5,5,0
nhdhr_120017988,1985,0,0,0
nhdhr_120017988,1986,0,0,0
nhdhr_120017988,1987,0,0,0
nhdhr_120017988,1988,0,0,0
nhdhr_120017988,1989,4,4,0
nhdhr_120017988,1990,0,0,0
nhdhr_120017988,1991,0,0,0
nhdhr_120017988,1992,1,1,0
nhdhr_120017988,1993,0,0,0
nhdhr_120017988,1994,13,13,0
nhdhr_120017988,1995,0,0,0
nhdhr_120017988,1996,0,0,0
nhdhr_120017988,1997,13,13,0
nhdhr_120017988,1998,6,6,1
nhdhr_120017988,1999,6,6,1
nhdhr_120017988,2000,10,10,0
nhdhr_120017988,2001,9,9,0
nhdhr_120017988,2002,10,10,0
nhdhr_120017988,2003,0,0,0
nhdhr_120017988,2004,9,9,0
nhdhr_120017988,2005,0,0,0
nhdhr_120017988,2006,10,10,0
nhdhr_120017988,2007,0,0,0
nhdhr_120017988,2008,10,10,0
nhdhr_120017988,2009,2,2,0
nhdhr_120017988,2010,9,9,0
nhdhr_120017988,2011,4,4,0
nhdhr_120017988,2012,7,7,0
nhdhr_120017988,2013,6,6,0
nhdhr_120017988,2014,10,10,0
nhdhr_120017988,2015,0,0,0
nhdhr_120017988,2016,10,10,0
nhdhr_120017988,2017,0,0,0
nhdhr_120017988,2018,0,0,0
nhdhr_120017988,2019,0,0,0
nhdhr_120017991,1979,0,0,0
nhdhr_120017991,1980,3,3,0
nhdhr_120017991,1981,0,0,0
nhdhr_120017991,1982,0,0,0
nhdhr_120017991,1983,0,0,0
nhdhr_120017991,1984,5,5,0
nhdhr_120017991,1985,1,1,0
nhdhr_120017991,1986,1,1,0
nhdhr_120017991,1987,1,1,0
nhdhr_120017991,1988,3,3,0
nhdhr_120017991,1989,3,3,0
nhdhr_120017991,1990,14,14,2
nhdhr_120017991,1991,3,3,0
nhdhr_120017991,1992,0,0,0
nhdhr_120017991,1993,0,0,0
nhdhr_120017991,1994,0,0,0
nhdhr_120017991,1995,0,0,0
nhdhr_120017991,1996,0,0,0
nhdhr_120017991,1997,0,0,0
nhdhr_120017991,1998,0,0,0
nhdhr_120017991,1999,0,0,0
nhdhr_120017991,2000,0,0,0
nhdhr_120017991,2001,0,0,0
nhdhr_120017991,2002,0,0,0
nhdhr_120017991,2003,0,0,0
nhdhr_120017991,2004,0,0,0
nhdhr_120017991,2005,0,0,0
nhdhr_120017991,2006,10,10,3
nhdhr_120017991,2007,0,0,0
nhdhr_120017991,2008,0,0,0
nhdhr_120017991,2009,10,10,2
nhdhr_120017991,2010,10,10,1
nhdhr_120017991,2011,9,9,2
nhdhr_120017991,2012,10,10,2
nhdhr_120017991,2013,8,8,3
nhdhr_120017991,2014,10,10,1
nhdhr_120017991,2015,8,8,1
nhdhr_120017991,2016,0,0,0
nhdhr_120017991,2017,0,0,0
nhdhr_120017991,2018,0,0,0
nhdhr_120017991,2019,0,0,0
nhdhr_120017997,1981,0,0,0
nhdhr_120017997,1983,0,0,0
nhdhr_120017997,1989,0,0,0
nhdhr_120017997,1991,0,0,0
nhdhr_120017997,1992,0,0,0
nhdhr_120017997,1996,0,0,0
nhdhr_120017997,1998,1,1,6
nhdhr_120017997,2003,5,5,3
nhdhr_120017997,2018,0,0,0
nhdhr_120018014,1979,0,0,0
nhdhr_120018014,1980,3,3,1
nhdhr_120018014,1981,5,5,0
nhdhr_120018014,1982,0,0,0
nhdhr_120018014,1983,5,5,0
nhdhr_120018014,1984,1,1,1
nhdhr_120018014,1985,1,1,0
nhdhr_120018014,1986,1,1,0
nhdhr_120018014,1987,1,1,0
nhdhr_120018014,1988,3,3,0
nhdhr_120018014,1989,3,3,0
nhdhr_120018014,1990,9,9,5
nhdhr_120018014,1991,3,3,4
nhdhr_120018014,1992,0,0,0
nhdhr_120018014,1993,0,0,0
nhdhr_120018014,1994,0,0,0
nhdhr_120018014,1995,0,0,0
nhdhr_120018014,1996,0,0,0
nhdhr_120018014,1997,0,0,0
nhdhr_120018014,1998,0,0,0
nhdhr_120018014,1999,0,0,0
nhdhr_120018014,2000,10,10,2
nhdhr_120018014,2001,11,11,2
nhdhr_120018014,2002,0,0,0
nhdhr_120018014,2003,11,11,2
nhdhr_120018014,2004,10,10,3
nhdhr_120018014,2005,0,0,0
nhdhr_120018014,2006,0,0,0
nhdhr_120018014,2007,0,0,0
nhdhr_120018014,2008,0,0,0
nhdhr_120018014,2009,2,2,0
nhdhr_120018014,2010,0,0,0
nhdhr_120018014,2011,0,0,0
nhdhr_120018014,2012,9,9,2
nhdhr_120018014,2013,7,7,2
nhdhr_120018014,2014,9,9,1
nhdhr_120018014,2015,9,9,2
nhdhr_120018014,2016,0,0,0
nhdhr_120018014,2017,0,0,0
nhdhr_120018014,2018,1,1,2
nhdhr_120018014,2019,0,0,0
nhdhr_120018022,1979,2,2,1
nhdhr_120018022,1980,2,2,0
nhdhr_120018022,1981,1,1,1
nhdhr_120018022,1982,9,9,1
nhdhr_120018022,1983,0,0,0
nhdhr_120018022,1984,9,9,1
nhdhr_120018022,1985,10,10,6
nhdhr_120018022,1986,6,6,8
nhdhr_120018022,1987,6,6,5
nhdhr_120018022,1988,2,2,2
nhdhr_120018022,1989,1,1,0
nhdhr_120018022,1990,1,1,0
nhdhr_120018022,1991,15,15,0
nhdhr_120018022,1992,0,0,0
nhdhr_120018022,1993,13,13,0
nhdhr_120018022,1994,0,0,0
nhdhr_120018022,1995,0,0,0
nhdhr_120018022,1996,0,0,0
nhdhr_120018022,1997,0,0,0
nhdhr_120018022,1998,0,0,0
nhdhr_120018022,1999,0,0,0
nhdhr_120018022,2000,0,0,0
nhdhr_120018022,2001,0,0,0
nhdhr_120018022,2002,0,0,0
nhdhr_120018022,2003,0,0,0
nhdhr_120018022,2004,0,0,0
nhdhr_120018022,2005,0,0,0
nhdhr_120018022,2006,0,0,0
nhdhr_120018022,2007,0,0,0
nhdhr_120018022,2008,0,0,0
nhdhr_120018022,2009,0,0,0
nhdhr_120018022,2010,0,0,0
nhdhr_120018022,2011,0,0,0
nhdhr_120018022,2012,8,8,1
nhdhr_120018022,2013,7,7,1
nhdhr_120018022,2014,9,9,0
nhdhr_120018022,2015,9,9,0
nhdhr_120018022,2016,0,0,0
nhdhr_120018022,2017,0,0,0
nhdhr_120018022,2018,0,0,0
nhdhr_120018022,2019,0,0,0
nhdhr_120018025,1979,0,0,0
nhdhr_120018025,1980,2,2,0
nhdhr_120018025,1981,0,0,0
nhdhr_120018025,1982,0,0,0
nhdhr_120018025,1983,5,5,0
nhdhr_120018025,1984,0,0,1
nhdhr_120018025,1985,0,0,0
nhdhr_120018025,1986,0,0,0
nhdhr_120018025,1987,0,0,0
nhdhr_120018025,1988,7,7,0
nhdhr_120018025,1989,7,7,0
nhdhr_120018025,1990,7,7,1
nhdhr_120018025,1991,11,11,0
nhdhr_120018025,1992,7,7,0
nhdhr_120018025,1993,8,8,0
nhdhr_120018025,1994,7,7,0
nhdhr_120018025,1995,8,8,0
nhdhr_120018025,1996,7,7,0
nhdhr_120018025,1997,7,7,0
nhdhr_120018025,1998,7,7,0
nhdhr_120018025,1999,0,0,0
nhdhr_120018025,2000,8,8,0
nhdhr_120018025,2001,7,7,0
nhdhr_120018025,2002,7,7,0
nhdhr_120018025,2003,7,7,0
nhdhr_120018025,2004,7,7,0
nhdhr_120018025,2005,6,6,0
nhdhr_120018025,2006,7,7,0
nhdhr_120018025,2007,7,7,0
nhdhr_120018025,2008,7,7,0
nhdhr_120018025,2009,8,8,0
nhdhr_120018025,2010,8,8,0
nhdhr_120018025,2011,8,8,1
nhdhr_120018025,2012,9,9,2
nhdhr_120018025,2013,8,8,1
nhdhr_120018025,2014,8,8,0
nhdhr_120018025,2015,0,0,0
nhdhr_120018025,2016,8,8,0
nhdhr_120018025,2017,0,0,0
nhdhr_120018025,2018,8,8,0
nhdhr_120018025,2019,0,0,0
nhdhr_120018032,1979,0,0,0
nhdhr_120018032,1980,8,8,0
nhdhr_120018032,1981,4,4,1
nhdhr_120018032,1982,0,0,0
nhdhr_120018032,1983,5,5,0
nhdhr_120018032,1984,1,1,2
nhdhr_120018032,1985,1,1,0
nhdhr_120018032,1986,8,8,2
nhdhr_120018032,1987,7,7,1
nhdhr_120018032,1988,7,7,1
nhdhr_120018032,1989,5,5,1
nhdhr_120018032,1990,5,5,2
nhdhr_120018032,1991,6,6,2
nhdhr_120018032,1992,6,6,1
nhdhr_120018032,1993,7,7,1
nhdhr_120018032,1994,7,7,0
nhdhr_120018032,1995,8,8,0
nhdhr_120018032,1996,7,7,0
nhdhr_120018032,1997,6,6,1
nhdhr_120018032,1998,8,8,0
nhdhr_120018032,1999,6,6,1
nhdhr_120018032,2000,7,7,1
nhdhr_120018032,2001,6,6,1
nhdhr_120018032,2002,5,5,2
nhdhr_120018032,2003,7,7,0
nhdhr_120018032,2004,15,15,5
nhdhr_120018032,2005,18,18,2
nhdhr_120018032,2006,7,7,0
nhdhr_120018032,2007,7,7,0
nhdhr_120018032,2008,7,7,0
nhdhr_120018032,2009,8,8,0
nhdhr_120018032,2010,8,8,0
nhdhr_120018032,2011,7,7,1
nhdhr_120018032,2012,7,7,1
nhdhr_120018032,2013,7,7,1
nhdhr_120018032,2014,12,12,6
nhdhr_120018032,2015,8,8,0
nhdhr_120018032,2016,8,8,0
nhdhr_120018032,2017,0,0,0
nhdhr_120018032,2018,8,8,0
nhdhr_120018032,2019,0,0,0
nhdhr_120018036,1979,0,0,0
nhdhr_120018036,1980,4,4,0
nhdhr_120018036,1981,4,4,3
nhdhr_120018036,1982,0,0,0
nhdhr_120018036,1983,5,5,0
nhdhr_120018036,1984,0,0,1
nhdhr_120018036,1985,1,1,0
nhdhr_120018036,1986,1,1,0
nhdhr_120018036,1987,7,7,1
nhdhr_120018036,1988,7,7,1
nhdhr_120018036,1989,5,5,1
nhdhr_120018036,1990,6,6,0
nhdhr_120018036,1991,7,7,1
nhdhr_120018036,1992,7,7,0
nhdhr_120018036,1993,7,7,1
nhdhr_120018036,1994,7,7,0
nhdhr_120018036,1995,6,6,1
nhdhr_120018036,1996,6,6,1
nhdhr_120018036,1997,8,8,1
nhdhr_120018036,1998,8,8,0
nhdhr_120018036,1999,5,5,1
nhdhr_120018036,2000,7,7,0
nhdhr_120018036,2001,6,6,1
nhdhr_120018036,2002,7,7,0
nhdhr_120018036,2003,6,6,1
nhdhr_120018036,2004,7,7,0
nhdhr_120018036,2005,7,7,0
nhdhr_120018036,2006,7,7,0
nhdhr_120018036,2007,7,7,0
nhdhr_120018036,2008,7,7,0
nhdhr_120018036,2009,8,8,0
nhdhr_120018036,2010,8,8,0
nhdhr_120018036,2011,8,8,0
nhdhr_120018036,2012,8,8,0
nhdhr_120018036,2013,8,8,0
nhdhr_120018036,2014,8,8,0
nhdhr_120018036,2015,0,0,0
nhdhr_120018036,2016,8,8,0
nhdhr_120018036,2017,0,0,0
nhdhr_120018036,2018,8,8,0
nhdhr_120018036,2019,0,0,0
nhdhr_120018038,1979,0,0,0
nhdhr_120018038,1980,0,0,0
nhdhr_120018038,1981,0,0,0
nhdhr_120018038,1982,0,0,0
nhdhr_120018038,1983,5,5,0
nhdhr_120018038,1984,0,0,0
nhdhr_120018038,1985,0,0,0
nhdhr_120018038,1986,13,13,4
nhdhr_120018038,1987,14,14,4
nhdhr_120018038,1988,0,0,0
nhdhr_120018038,1989,0,0,0
nhdhr_120018038,1990,0,0,0
nhdhr_120018038,1991,0,0,0
nhdhr_120018038,1992,0,0,0
nhdhr_120018038,1993,0,0,0
nhdhr_120018038,1994,0,0,0
nhdhr_120018038,1995,0,0,0
nhdhr_120018038,1996,0,0,0
nhdhr_120018038,1997,13,13,0
nhdhr_120018038,1998,11,11,0
nhdhr_120018038,1999,7,7,0
nhdhr_120018038,2000,13,13,0
nhdhr_120018038,2001,10,10,0
nhdhr_120018038,2002,9,9,0
nhdhr_120018038,2003,12,12,0
nhdhr_120018038,2004,11,11,0
nhdhr_120018038,2005,12,12,0
nhdhr_120018038,2006,13,13,0
nhdhr_120018038,2007,11,11,0
nhdhr_120018038,2008,13,13,0
nhdhr_120018038,2009,14,14,0
nhdhr_120018038,2010,13,13,2
nhdhr_120018038,2011,13,13,3
nhdhr_120018038,2012,13,13,1
nhdhr_120018038,2013,10,10,1
nhdhr_120018038,2014,12,12,0
nhdhr_120018038,2015,13,13,0
nhdhr_120018038,2016,13,13,0
nhdhr_120018038,2017,13,13,0
nhdhr_120018038,2018,12,12,0
nhdhr_120018038,2019,0,0,0
nhdhr_120018046,1979,10,10,1
nhdhr_120018046,1980,8,8,0
nhdhr_120018046,1981,5,5,0
nhdhr_120018046,1982,0,0,0
nhdhr_120018046,1983,2,2,0
nhdhr_120018046,1984,4,4,2
nhdhr_120018046,1985,1,1,0
nhdhr_120018046,1986,1,1,0
nhdhr_120018046,1987,1,1,0
nhdhr_120018046,1988,4,4,1
